to_timestamp           | gpst |       time | latitude | longitude | altitude | heading |  pitch |   roll |   mrms |   brms | flag
----------------------+++----+++----------+++--------+++---------+++--------+++-------+++------+++------+++------+++------+++----
2014-12-24 19:42:44-05 |    4 | 1419468164 | -77.9026 |   24.8928 |  35548.3 | 107.936 |   0.57 |  -0.57 | 0.0024 | 0.0251 |    0
2014-12-24 19:42:43-05 |    4 | 1419468163 | -77.9026 |    24.893 |  35548.4 | 107.756 |   0.57 |  -0.59 | 0.0025 | 0.0265 |    0
2014-12-24 19:42:42-05 |    4 | 1419468162 | -77.9026 |   24.8933 |  35548.4 | 107.593 |   0.55 |   -0.6 | 0.0025 |  0.027 |    0
2014-12-24 19:42:41-05 |    4 | 1419468161 | -77.9027 |   24.8936 |  35548.5 | 107.395 |   0.42 |  -0.54 | 0.0025 | 0.0274 |    0
2014-12-24 19:42:40-05 |    4 | 1419468160 | -77.9027 |   24.8938 |  35548.6 | 107.248 |   0.51 |  -0.55 | 0.0025 | 0.0282 |    0
2014-12-24 19:42:11-05 |    4 | 1419468131 | -77.9038 |   24.9015 |    35549 | 103.172 |   0.09 |  -0.06 | 0.0019 | 0.0217 |    0
2014-12-24 19:42:10-05 |    4 | 1419468130 | -77.9038 |   24.9018 |    35549 | 103.061 |    0.1 |   0.04 | 0.0018 | 0.0195 |    0
2014-12-24 19:42:09-05 |    4 | 1419468129 | -77.9038 |    24.902 |  35548.9 | 102.952 |   0.02 |   0.02 | 0.0017 |  0.019 |    0
2014-12-24 19:42:08-05 |    4 | 1419468128 | -77.9039 |   24.9023 |  35548.9 | 102.854 |    0.1 |   0.11 | 0.0018 | 0.0194 |    0
2014-12-24 19:42:07-05 |    4 | 1419468127 | -77.9039 |   24.9026 |  35548.8 | 102.761 |   0.12 |   0.09 | 0.0018 | 0.0188 |    0
2014-12-24 19:42:06-05 |    4 | 1419468126 | -77.9039 |   24.9028 |  35548.8 | 102.672 |   0.14 |   0.16 | 0.0018 | 0.0193 |    0
2014-12-24 19:42:05-05 |    4 | 1419468125 |  -77.904 |   24.9031 |  35548.7 | 102.572 |   0.18 |   0.14 | 0.0018 | 0.0192 |    0
2014-12-24 19:42:04-05 |    4 | 1419468124 |  -77.904 |   24.9034 |  35548.6 | 102.481 |    0.2 |   0.18 | 0.0019 | 0.0196 |    0
2014-12-24 19:42:03-05 |    4 | 1419468123 |  -77.904 |   24.9036 |  35548.6 | 102.398 |   0.27 |   0.21 | 0.0018 | 0.0186 |    0
2014-12-24 19:42:02-05 |    4 | 1419468122 | -77.9041 |   24.9039 |  35548.5 | 102.298 |   0.28 |   0.27 | 0.0019 | 0.0196 |    0
2014-12-24 19:42:01-05 |    4 | 1419468121 | -77.9041 |   24.9042 |  35548.4 | 102.201 |   0.25 |   0.31 | 0.0019 | 0.0182 |    0
2014-12-24 19:42:00-05 |    4 | 1419468120 | -77.9042 |   24.9044 |  35548.4 | 102.112 |   0.21 |    0.3 | 0.0018 | 0.0178 |    0
2014-12-24 19:41:59-05 |    4 | 1419468119 | -77.9042 |   24.9047 |  35548.3 | 102.018 |   0.18 |   0.33 | 0.0018 | 0.0182 |    0
2014-12-24 19:41:58-05 |    4 | 1419468118 | -77.9042 |   24.9049 |  35548.2 | 101.931 |   0.24 |   0.36 |  0.002 | 0.0198 |    0
2014-12-24 19:41:57-05 |    4 | 1419468117 | -77.9043 |   24.9052 |  35548.1 | 101.843 |   0.26 |   0.34 | 0.0019 | 0.0198 |    0
2014-12-24 19:41:39-05 |    4 | 1419468099 | -77.9049 |     24.91 |  35545.9 | 100.024 |   -0.4 |   0.58 | 0.0017 |  0.022 |    0
2014-12-24 19:41:38-05 |    4 | 1419468098 | -77.9049 |   24.9103 |  35545.8 | 99.9087 |  -0.45 |   0.64 | 0.0017 | 0.0213 |    0
2014-12-24 19:41:37-05 |    4 | 1419468097 |  -77.905 |   24.9105 |  35545.6 | 99.8065 |  -0.34 |   0.61 | 0.0017 | 0.0212 |    0
2014-12-24 19:41:36-05 |    4 | 1419468096 |  -77.905 |   24.9108 |  35545.4 | 99.6935 |  -0.33 |   0.54 | 0.0017 |  0.022 |    0
